Date,TransactionType,SBD,Steem,SteemPower,Vests,TransactionID,Memo
2017-02-13T10:48:45,custom_json,IGNORE,"{'block': 9330020,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""williambanks"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-13T10:48:45',  'trx_id': 'cc13d3787da1312fe67fc76c90f918e440132a17',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-13T12:23:36,transfer,5.0,0,0,13c8d669f49568db30116c09fd31449b19c63b03,3212555573510698559
2017-02-13T12:23:36,interest,0.002,0,0,13c8d669f49568db30116c09fd31449b19c63b03
2017-02-14T12:39:09,transfer,0,1.0,0,a0b6e502bec2f7e69bd7a317333f5d205f01a2be,3121281560688057300
2017-02-14T12:42:33,transfer,1.023,0,0,755de3702fc82daf320c990cb63cfa2a8eb10d8c,3121281560688057300
2017-02-15T00:28:42,transfer,0,1.0,0,e76c39da53596fd507eb6f65b75edb3a52aeb3e7,3121281560688057220
2017-02-15T05:03:12,transfer,0,669.576,0,2f9d57392e8c3fb8cf8e1ead6d5fbd37ac2643fe,3121281560688057220
2017-02-15T05:05:45,transfer,6.925,0,0,adf60f9e308715729fdc584fce31afdf39cec562,3121281560688057220
2017-02-15T07:06:00,transfer,0,9.0,0,9bcc16f129cc603e0438868a327c628079fd3ad5,7459125207434872497
2017-02-15T07:08:12,transfer,0.5,0,0,0a3dc9c936f3cab8c06fca3e771c01c51ac4dec1,7459125207434872497
2017-02-15T09:29:12,transfer,0,10.0,0,a12b02575ed8b9dbd812ea7d97a2c1bd6f161619,8787547387011768474
2017-02-15T13:00:03,transfer,0,101.0,0,b181305a1fde81b32906ef0dee6ad5ea862af46f,8787547387011768474
2017-02-15T13:04:27,vote,IGNORE,"{'block': 9390233,  'op': ['vote',         {'author': 'barrydutton',          'permlink': 'changelly-currency-exchange-platform-brings-on-crypto-godfather-charlie-shrem-as-advisor-as-their-numbers-rise-could-outperform',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T13:04:27',  'trx_id': '633366471699fae880287a2c99c27fc3ad734a5e',  'trx_in_block': 10,  'virtual_op': 0}"
2017-02-15T17:58:33,custom_json,IGNORE,"{'block': 9396114,  'op': ['custom_json',         {'id': 'follow',          'json': '[""reblog"",{""account"":""tradeqwik"",""author"":""williambanks"",""permlink"":""join-the-tradeqwik-beta-and-win-prizes""}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-15T17:58:33',  'trx_id': '498d5107b4859d85686e5fa40dc0cb305f378b51',  'trx_in_block': 5,  'virtual_op': 0}"
2017-02-15T17:58:51,vote,IGNORE,"{'block': 9396120,  'op': ['vote',         {'author': 'williambanks',          'permlink': 'join-the-tradeqwik-beta-and-win-prizes',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T17:58:51',  'trx_id': '6d771163138d86453ae6870a23bea43243f697eb',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-15T18:24:51,transfer,0,19.0,0,f49db37ecc81142a8d63f7847c346d76e1135451,7364369765141070
2017-02-15T18:32:57,comment,IGNORE,"{'block': 9396802,  'op': ['comment',         {'author': 'tradeqwik',          'body': ""We're still feeling out the fees and they will evolve over ""                  'time.\n'                  'Right now the fees vary depending on how much our company '                  '""VIVA Payment Systems"" needs the currency.  Example we have '                  'a large standing order for SBD so SBD into USD is done '                  'without fees.\n'                  '\n'                  'All of our currencies are free to deposit.  Trading fees are '                  'mostly 0.05% and those are only charged on market orders, or '                  'the part of a limit order that fills immediately.\n'                  '\n'                  'At present the only withdrawal fees are the network fees for '                  'the given currency.\n'                  '\n'                  'Of course that will change over time.\n'                  'We have a full API and I\'ll add a ""fees"" API so you can get '                  'current fees.  In the meantime you can look at the most '                  'recent trades to see by going here...\n'                  'https://live.tradeqwik.com/api/1/recent_trades/USD/STM\n'                  '\n'                  'Just substitute USD/STM for any open market.',          'json_metadata': '{""tags"":[""steem""],""links"":[""https://live.tradeqwik.com/api/1/recent_trades/USD/STM""],""app"":""steemit/0.1""}',          'parent_author': 'acidyo',          'parent_permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t182413437z',          'permlink': 're-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183255317z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:32:57',  'trx_id': '9c961cd148d5612ecd53901e6cb5d7a7512e99fd',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-15T18:33:33,comment,IGNORE,"{'block': 9396814,  'op': ['comment',         {'author': 'tradeqwik',          'body': '@@ -1,8 +1,35 @@\n'                  '+Thanks for the compliment!%0A\n'                  "" We're st\n"",          'json_metadata': '{""tags"":[""steem""],""links"":[""https://live.tradeqwik.com/api/1/recent_trades/USD/STM""],""app"":""steemit/0.1""}',          'parent_author': 'acidyo',          'parent_permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t182413437z',          'permlink': 're-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183255317z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:33:33',  'trx_id': 'abcedb2d20394a0a043a32e1307b9d3d5436e84b',  'trx_in_block': 5,  'virtual_op': 0}"
2017-02-15T18:34:57,comment,IGNORE,"{'block': 9396842,  'op': ['comment',         {'author': 'acidyo',          'body': 'Thanks for the detailed reply! Looking forward to using the '                  'site and see how it evolves!',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'tradeqwik',          'parent_permlink': 're-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183255317z',          'permlink': 're-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183455584z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:34:57',  'trx_id': 'd72e23c547afd3f5f50f735f0d91275529a43a9b',  'trx_in_block': 9,  'virtual_op': 0}"
2017-02-15T18:35:00,vote,IGNORE,"{'block': 9396843,  'op': ['vote',         {'author': 'eric-boucher',          'permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183240688z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:35:00',  'trx_id': 'a87ea73afe9af8310cb2c9d548ae9c80691fdb31',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-15T18:36:15,comment,IGNORE,"{'block': 9396868,  'op': ['comment',         {'author': 'tradeqwik',          'body': ""Thank you very much!  These are powerful compliments.  We're ""                  ""all very glad to have finally made it to this stage, it's ""                  'been a long journey.',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'eric-boucher',          'parent_permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183240688z',          'permlink': 're-eric-boucher-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183611987z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:36:15',  'trx_id': '3321bb38b3be10f7c3356784d8ecf959921e00cb',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-15T18:39:30,comment,IGNORE,"{'block': 9396933,  'op': ['comment',         {'author': 'tradeqwik',          'body': ""I've never heard of it.  But Golos is Russian steem right?\n""                  ""Tell ya what, send an email to hello@vivaco.in and we'll ""                  'discuss it in slack.',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'svamiva',          'parent_permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183429335z',          'permlink': 're-svamiva-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183928176z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:39:30',  'trx_id': '5a1b0d1ed5b26b14c3bb50d2a07667f5f0b53a2b',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-15T18:39:42,vote,IGNORE,"{'block': 9396937,  'op': ['vote',         {'author': 'svamiva',          'permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183429335z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:39:42',  'trx_id': '98e453152c193a35b1642da891e945209b8d8511',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-15T18:42:03,comment,IGNORE,"{'block': 9396984,  'op': ['comment',         {'author': 'tradeqwik',          'body': ""You're very welcome and welcome aboard!  Don't forget to ask ""                  'for an invite to slack by sending an email to '                  'hello@vivaco.in',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'acidyo',          'parent_permlink': 're-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183455584z',          'permlink': 're-acidyo-re-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t184202648z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:42:03',  'trx_id': '05bdc1844c96e2bb76e554b21a97ca2f38350458',  'trx_in_block': 15,  'virtual_op': 0}"
2017-02-15T18:42:15,vote,IGNORE,"{'block': 9396988,  'op': ['vote',         {'author': 'acidyo',          'permlink': 're-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183455584z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:42:15',  'trx_id': '8b14f4308cc6ab6af58c8ae08bfa9b67e677295f',  'trx_in_block': 14,  'virtual_op': 0}"
2017-02-15T18:52:00,comment,IGNORE,"{'block': 9397183,  'op': ['comment',         {'author': 'acidyo',          'body': 'Cheers! :)',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'tradeqwik',          'parent_permlink': 're-acidyo-re-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t184202648z',          'permlink': 're-tradeqwik-re-acidyo-re-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t185158852z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-15T18:52:00',  'trx_id': '6931daa15bad3f0d6d0fc7b07d980b9db48d6603',  'trx_in_block': 18,  'virtual_op': 0}"
2017-02-15T19:59:51,vote,IGNORE,"{'block': 9398539,  'op': ['vote',         {'author': 'tradeqwik',          'permlink': 're-eric-boucher-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183611987z',          'voter': 'eric-boucher',          'weight': 500}],  'op_in_trx': 0,  'timestamp': '2017-02-15T19:59:51',  'trx_id': '75ed0291754d8cc452a80e2f43c26bb9b39d5375',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-15T20:37:15,vote,IGNORE,"{'block': 9399287,  'op': ['vote',         {'author': 'tradeqwik',          'permlink': 're-svamiva-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183928176z',          'voter': 'svamiva',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T20:37:15',  'trx_id': 'a445401a673a468934189df9668fec1ec20c14a2',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-15T20:49:30,transfer,0,200.0,0,5bf48e325e0aecfa28d6e7a2ece86e5cf55caae2,5264361531911169
2017-02-15T21:06:24,vote,IGNORE,"{'block': 9399870,  'op': ['vote',         {'author': 'tradeqwik',          'permlink': 're-eric-boucher-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183611987z',          'voter': 'kenny-crane',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-15T21:06:24',  'trx_id': '90a6e8cb9b8121a255b75069f64495a22eaf022c',  'trx_in_block': 1,  'virtual_op': 0}"
2017-02-16T04:17:15,vote,IGNORE,"{'block': 9408485,  'op': ['vote',         {'author': 'tradeqwik',          'permlink': 're-eric-boucher-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183611987z',          'voter': 'williambanks',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T04:17:15',  'trx_id': '9a4d8d896a4aea73852cefec566781dd598ac241',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T04:17:48,vote,IGNORE,"{'block': 9408496,  'op': ['vote',         {'author': 'tradeqwik',          'permlink': 're-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t183255317z',          'voter': 'williambanks',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T04:17:48',  'trx_id': 'c00749fbfe8f9649e3fe511932ef6545da2a249a',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T07:03:48,vote,IGNORE,"{'block': 9411813,  'op': ['vote',         {'author': 'papa-pepper',          'permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170216t052055929z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T07:03:48',  'trx_id': '96ea31acc23d347e37ae9fd15e8ec449b81e95bb',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-16T07:04:33,comment,IGNORE,"{'block': 9411828,  'op': ['comment',         {'author': 'tradeqwik',          'body': 'Thank you for the encouragement!  We hope to see you in '                  'beta!',          'json_metadata': '{""tags"":[""steem""],""app"":""steemit/0.1""}',          'parent_author': 'papa-pepper',          'parent_permlink': 're-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170216t052055929z',          'permlink': 're-papa-pepper-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170216t070431101z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-16T07:04:33',  'trx_id': 'f18a4572f2f13374266dfc8b5afefd933766403f',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T07:04:48,vote,IGNORE,"{'block': 9411833,  'op': ['vote',         {'author': 'acidyo',          'permlink': 're-tradeqwik-re-acidyo-re-tradeqwik-re-acidyo-re-williambanks-join-the-tradeqwik-beta-and-win-prizes-20170215t185158852z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T07:04:48',  'trx_id': 'efeb30b4eb859367e63406fb7129c10f507c5321',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-16T08:27:15,comment,IGNORE,"{'block': 9413473,  'op': ['comment',         {'author': 'tradeqwik',          'body': 'No idea what that means @deanliu but google translate says '                  ""something like you're saying I have a big heart.  Thanks for ""                  'the mention!\n'                  'Would you like to translate my posts to Chinese and repost '                  'them with me?',          'json_metadata': '{""tags"":[""cn-programming""],""users"":[""deanliu""],""app"":""steemit/0.1""}',          'parent_author': 'deanliu',          'parent_permlink': 're-smarketing-re-deanliu-re-deanliu-re-smarketing-61fd75-20170216t082338741z',          'permlink': 're-deanliu-re-smarketing-re-deanliu-re-deanliu-re-smarketing-61fd75-20170216t082715581z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:27:15',  'trx_id': 'bc9af3e3c7e5e990e68859ecb3ae8fc2abb413bd',  'trx_in_block': 4,  'virtual_op': 0}"
2017-02-16T08:27:21,vote,IGNORE,"{'block': 9413475,  'op': ['vote',         {'author': 'deanliu',          'permlink': 're-smarketing-re-deanliu-re-deanliu-re-smarketing-61fd75-20170216t082338741z',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:27:21',  'trx_id': '8ba24aaf5576af525dab693072b3d84590ff81bf',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-16T08:29:36,vote,IGNORE,"{'block': 9413520,  'op': ['vote',         {'author': 'smarketing',          'permlink': '61fd75',          'voter': 'tradeqwik',          'weight': 10000}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:29:36',  'trx_id': '8fbe76809b7a0e089f61580d3f6959c5bc1dbacb',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T08:31:15,comment,IGNORE,"{'block': 9413553,  'op': ['comment',         {'author': 'tradeqwik',          'body': '@@ -198,8 +198,96 @@\n'                  ' with me?\n'                  ""+%0AThis is @williambanks by the way, I'm just logged into ""                  'the TradeQwik account right now.\n',          'json_metadata': '{""tags"":[""cn-programming""],""users"":[""deanliu"",""williambanks""],""app"":""steemit/0.1""}',          'parent_author': 'deanliu',          'parent_permlink': 're-smarketing-re-deanliu-re-deanliu-re-smarketing-61fd75-20170216t082338741z',          'permlink': 're-deanliu-re-smarketing-re-deanliu-re-deanliu-re-smarketing-61fd75-20170216t082715581z',          'title': ''}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:31:15',  'trx_id': 'b4d1fe84022410050816b60a95cbecc2c55982d2',  'trx_in_block': 1,  'virtual_op': 0}"
2017-02-16T08:33:24,custom_json,IGNORE,"{'block': 9413596,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""deanliu"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:24',  'trx_id': '9c0dbf21b8bbab3d9b53ee9ec72fb19e977a1b0c',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T08:33:27,custom_json,IGNORE,"{'block': 9413597,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""kenny-crane"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:27',  'trx_id': '14f4cef2083154107f2599a7122c4843927699bf',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T08:33:27,custom_json,IGNORE,"{'block': 9413597,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""liondani"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:27',  'trx_id': '3a0762918edc0cf38654f793e4715919ee604bc2',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-16T08:33:30,custom_json,IGNORE,"{'block': 9413598,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""moondancer762"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:30',  'trx_id': '62560cbf42e78d462d936ff9293e678e17c146db',  'trx_in_block': 1,  'virtual_op': 0}"
2017-02-16T08:33:33,custom_json,IGNORE,"{'block': 9413599,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""neptun"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:33',  'trx_id': '7e2ecb03298976a41a149ad0ff2efa6322f6dea8',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T08:33:36,custom_json,IGNORE,"{'block': 9413600,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""okean123"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:36',  'trx_id': '1915c47bd12a8e7d9fb68147f44ace561db9785b',  'trx_in_block': 0,  'virtual_op': 0}"
2017-02-16T08:33:36,custom_json,IGNORE,"{'block': 9413600,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""sykochica"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:36',  'trx_id': 'a5b6bf9cc624638b6421179d388a0cf806dd2ffc',  'trx_in_block': 2,  'virtual_op': 0}"
2017-02-16T08:33:39,custom_json,IGNORE,"{'block': 9413601,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""the-future"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:39',  'trx_id': '1b8b33684f63227b6428660a94b0f9332c3c71ec',  'trx_in_block': 1,  'virtual_op': 0}"
2017-02-16T08:33:39,custom_json,IGNORE,"{'block': 9413601,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""thecryptofiend"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:33:39',  'trx_id': 'a78c532e76011252890adf0c98730b1a086e50a6',  'trx_in_block': 3,  'virtual_op': 0}"
2017-02-16T08:37:09,custom_json,IGNORE,"{'block': 9413671,  'op': ['custom_json',         {'id': 'follow',          'json': '[""follow"",{""follower"":""tradeqwik"",""following"":""vivacoin"",""what"":[""blog""]}]',          'required_auths': [],          'required_posting_auths': ['tradeqwik']}],  'op_in_trx': 0,  'timestamp': '2017-02-16T08:37:09',  'trx_id': '9d1f88cd2b25ed7756235b5f21a491334021e48c',  'trx_in_block': 3,  'virtual_op': 0}"
